mmsi,vessel_id,vessel_name,timestamp,lat,lon,sog,cog,nav_status,source
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T00:00:00+00:00,16.8002,64.8662,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T00:10:00+00:00,16.7852,64.8512,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T00:20:00+00:00,16.7702,64.8362,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T00:30:00+00:00,16.7552,64.8212,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T00:40:00+00:00,16.7402,64.8062,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T00:50:00+00:00,16.7252,64.7912,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T01:00:00+00:00,16.7102,64.7762,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T01:10:00+00:00,16.6952,64.7612,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T01:20:00+00:00,16.6802,64.7462,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T01:30:00+00:00,16.6652,64.7312,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T01:40:00+00:00,16.6502,64.7162,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T01:50:00+00:00,16.6352,64.7012,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T02:00:00+00:00,16.6202,64.6862,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T02:10:00+00:00,16.6052,64.6712,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T02:20:00+00:00,16.5902,64.6562,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T02:30:00+00:00,16.5752,64.6412,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T02:40:00+00:00,16.5602,64.6262,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T02:50:00+00:00,16.5452,64.6112,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T03:00:00+00:00,16.5302,64.5962,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T03:10:00+00:00,16.5152,64.5812,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T03:20:00+00:00,16.5002,64.5662,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T03:30:00+00:00,16.4852,64.5512,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T03:40:00+00:00,16.4702,64.5362,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T03:50:00+00:00,16.4552,64.5212,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T04:00:00+00:00,16.4402,64.5062,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T04:10:00+00:00,16.4252,64.4912,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T04:20:00+00:00,16.4102,64.4762,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T04:30:00+00:00,16.3952,64.4612,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T04:40:00+00:00,16.3802,64.4462,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T04:50:00+00:00,16.3652,64.4312,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T05:00:00+00:00,16.3502,64.4162,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T05:10:00+00:00,16.3352,64.4012,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T05:20:00+00:00,16.3202,64.3862,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T05:30:00+00:00,16.3052,64.3712,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T05:40:00+00:00,16.2902,64.3562,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T05:50:00+00:00,16.2752,64.3412,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T06:00:00+00:00,16.2602,64.3262,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T06:10:00+00:00,16.2452,64.3112,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T06:20:00+00:00,16.2302,64.2962,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T06:30:00+00:00,16.2152,64.2812,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T06:40:00+00:00,16.2002,64.2662,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T06:50:00+00:00,16.1852,64.2512,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T07:00:00+00:00,16.1702,64.2362,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T07:10:00+00:00,16.1552,64.2212,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T07:20:00+00:00,16.1402,64.2062,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T07:30:00+00:00,16.1252,64.1912,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T07:40:00+00:00,16.1102,64.1762,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T07:50:00+00:00,16.0952,64.1612,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T08:00:00+00:00,16.0802,64.1462,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T08:10:00+00:00,16.0652,64.1312,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T08:20:00+00:00,16.0502,64.1162,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T08:30:00+00:00,16.0352,64.1012,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T08:40:00+00:00,16.0202,64.0862,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T08:50:00+00:00,16.0052,64.0712,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T09:00:00+00:00,15.9902,64.0562,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T09:10:00+00:00,15.9752,64.0412,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T09:20:00+00:00,15.9602,64.0262,12.9,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T09:30:00+00:00,15.9452,64.0112,13.0,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T09:40:00+00:00,15.9302,63.9962,13.1,135.0,0,AIS_CLASS_A
477001265,V001,AMBIGUOUS A scenario_265,2024-03-15T09:50:00+00:00,15.9152,63.9812,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T00:00:00+00:00,16.8082,64.8582,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T00:10:00+00:00,16.7932,64.8432,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T00:20:00+00:00,16.7782,64.8282,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T00:30:00+00:00,16.7632,64.8132,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T00:40:00+00:00,16.7482,64.7982,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T00:50:00+00:00,16.7332,64.7832,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T01:00:00+00:00,16.7182,64.7682,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T01:10:00+00:00,16.7032,64.7532,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T01:20:00+00:00,16.6882,64.7382,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T01:30:00+00:00,16.6732,64.7232,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T01:40:00+00:00,16.6582,64.7082,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T01:50:00+00:00,16.6432,64.6932,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T02:00:00+00:00,16.6282,64.6782,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T02:10:00+00:00,16.6132,64.6632,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T02:20:00+00:00,16.5982,64.6482,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T02:30:00+00:00,16.5832,64.6332,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T02:40:00+00:00,16.5682,64.6182,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T02:50:00+00:00,16.5532,64.6032,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T03:00:00+00:00,16.5382,64.5882,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T03:10:00+00:00,16.5232,64.5732,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T03:20:00+00:00,16.5082,64.5582,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T03:30:00+00:00,16.4932,64.5432,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T03:40:00+00:00,16.4782,64.5282,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T03:50:00+00:00,16.4632,64.5132,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T04:00:00+00:00,16.4482,64.4982,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T04:10:00+00:00,16.4332,64.4832,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T04:20:00+00:00,16.4182,64.4682,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T04:30:00+00:00,16.4032,64.4532,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T04:40:00+00:00,16.3882,64.4382,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T04:50:00+00:00,16.3732,64.4232,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T05:00:00+00:00,16.3582,64.4082,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T05:10:00+00:00,16.3432,64.3932,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T05:20:00+00:00,16.3282,64.3782,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T05:30:00+00:00,16.3132,64.3632,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T05:40:00+00:00,16.2982,64.3482,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T05:50:00+00:00,16.2832,64.3332,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T06:00:00+00:00,16.2682,64.3182,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T06:10:00+00:00,16.2532,64.3032,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T06:20:00+00:00,16.2382,64.2882,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T06:30:00+00:00,16.2232,64.2732,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T06:40:00+00:00,16.2082,64.2582,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T06:50:00+00:00,16.1932,64.2432,13.0,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T07:00:00+00:00,16.1782,64.2282,13.1,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T07:10:00+00:00,16.1632,64.2132,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T07:20:00+00:00,16.1482,64.1982,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T07:30:00+00:00,16.1332,64.1832,13.2,135.0,0,AIS_CLASS_A
477002265,V002,AMBIGUOUS B scenario_265,2024-03-15T07:40:00+00:00,16.1182,64.1682,13.1,135.0,0,AIS_CLASS_A
